término,categoría,definición,contexto,ejemplo,módulo_relacionado,palabras_clave
Reporte regulatorio,Términos AML/Compliance,Documento requerido por reguladores sobre actividad y controles.,Se genera con base en indicadores y eventos monitoreados.,Envío mensual de alertas analizadas al supervisor.,04_AML_Compliance,regulador;informe;obligación;auditoría
DataFrame,Términos de Data Science,Estructura tabular de datos con filas y columnas.,Es la base de manipulación en ejercicios de pandas.,Cargar CSV de transacciones en un DataFrame.,01_Fundamentos,pandas;tabla;columnas;filas
Series,Términos de Data Science,Estructura unidimensional etiquetada en pandas.,Se usa para columnas individuales y operaciones vectorizadas.,Extraer columna monto como Series.,01_Fundamentos,pandas;vector;columna;índice
Feature Engineering,Términos de Data Science,Creación y transformación de variables para mejorar modelos.,Clave en clasificación de fraude y scoring de riesgo.,Crear variable monto_promedio_7d por cliente.,03_Deteccion_Fraude,variables;atributos;transformación;modelo
Matriz de Confusión,Términos de Data Science,Tabla que compara predicciones contra valores reales.,Permite evaluar aciertos y errores del modelo.,Mostrar verdaderos positivos y falsos negativos.,03_Deteccion_Fraude,evaluación;tp;fp;fn;tn
Precisión,Términos de Data Science,Proporción de positivos predichos que son correctos.,Útil cuando el costo de falsas alertas es relevante.,"De 100 alertas, 80 fueron fraude real.",03_Deteccion_Fraude,precision;exactitud;modelo;metrica
Recall,Términos de Data Science,Proporción de casos positivos reales detectados.,Prioritario cuando perder fraudes es costoso.,Se detectó 90% de fraudes existentes.,03_Deteccion_Fraude,sensibilidad;cobertura;detección;modelo
F1-Score,Términos de Data Science,Media armónica entre precisión y recall.,Resume desempeño balanceado en clases desiguales.,F1 de 0.82 en validación del clasificador.,03_Deteccion_Fraude,f1;balance;métrica;clasificación
ROC Curve,Términos de Data Science,Curva que compara tasa de verdaderos positivos frente a falsos positivos.,Ayuda a elegir umbral de clasificación.,Comparar dos modelos con sus curvas ROC.,03_Deteccion_Fraude,roc;umbral;tpr;fpr
AUC (Area Under Curve),Términos de Data Science,"Área bajo la curva ROC, mide capacidad de discriminación.",Se usa para comparar clasificadores de fraude.,Modelo AUC 0.91 supera al de 0.84.,03_Deteccion_Fraude,auc;roc;ranking;desempeño
Machine Learning,Términos de Data Science,Métodos que aprenden patrones desde datos para predecir.,Aplicado en módulos de fraude y proyectos integradores.,Entrenar modelo para clasificar transacciones riesgosas.,03_Deteccion_Fraude,ml;modelo;aprendizaje;predicción
Clasificación,Términos de Data Science,Tarea supervisada para asignar una clase discreta.,Se usa para decidir fraude/no fraude.,"Etiqueta binaria: 1 fraude, 0 legítima.",03_Deteccion_Fraude,clase;binario;supervisado;modelo
Regresión Logística,Términos de Data Science,Modelo lineal probabilístico para clasificación binaria.,Primer modelo base recomendado por su interpretabilidad.,Estimar probabilidad de fraude por transacción.,03_Deteccion_Fraude,logistic regression;probabilidad;lineal;clasificador
Train/Test Split,Términos de Data Science,Separación de datos en entrenamiento y prueba.,Evita evaluar el modelo en datos vistos.,Usar 80% para entrenar y 20% para probar.,03_Deteccion_Fraude,partición;validación;entrenamiento;prueba
Overfitting,Términos de Data Science,Cuando el modelo aprende ruido y pierde generalización.,Riesgo típico con demasiadas variables o poca regularización.,Excelente en train pero pobre en test.,03_Deteccion_Fraude,sobreajuste;generalización;varianza;modelo
Underfitting,Términos de Data Science,Cuando el modelo es demasiado simple para capturar el patrón.,Indica necesidad de mejores features o mayor complejidad.,Bajo desempeño tanto en train como en test.,03_Deteccion_Fraude,subajuste;sesgo;modelo simple;error
EDA (Exploratory Data Analysis),Términos de Análisis,Análisis inicial para entender estructura y calidad de datos.,Primer paso antes de modelar o definir reglas.,Revisar distribuciones y valores atípicos.,01_Fundamentos,eda;exploración;resumen;visualización
Outlier,Términos de Análisis,Observación extrema que difiere notablemente del resto.,"Puede indicar fraude, error o caso especial.",Monto diez veces mayor al promedio del cliente.,02_Analisis_Financiero,atípico;anomalía;extremo;dato
Valor Faltante (Missing Value),Términos de Análisis,Dato ausente en un registro o variable.,Debe tratarse antes de entrenar modelos.,Edad del cliente vacía en formulario KYC.,01_Fundamentos,missing;null;nan;calidad
Imputación,Términos de Análisis,Técnica para reemplazar valores faltantes con un criterio definido.,Mantiene volumen de datos para análisis y modelado.,Completar ingresos faltantes con mediana del segmento.,01_Fundamentos,relleno;faltantes;mediana;promedio
Normalización,Términos de Análisis,"Escalado de variables a un rango común, usualmente 0 a 1.",Facilita comparación y entrenamiento de algunos modelos.,Escalar monto para redes neuronales.,03_Deteccion_Fraude,escala;minmax;rango;preprocesamiento
Estandarización,Términos de Análisis,Transformación para media 0 y desviación estándar 1.,Útil en modelos sensibles a escala.,Aplicar z-score a variables numéricas.,03_Deteccion_Fraude,zscore;media;cero;sigma
Correlación,Términos de Análisis,Medida de relación lineal entre dos variables.,Ayuda a seleccionar features y detectar redundancias.,Alta correlación entre frecuencia y monto total.,01_Fundamentos,relación;pearson;dependencia;variables
Distribución,Términos de Análisis,Forma en que se reparten los valores de una variable.,Permite elegir métricas y transformaciones adecuadas.,Montos con distribución sesgada a la derecha.,01_Fundamentos,histograma;densidad;sesgo;frecuencia
Z-Score,Términos de Análisis,Número de desviaciones estándar de un valor respecto a la media.,Se usa para detectar outliers de forma simple.,Transacción con z-score de 3.2 marcada para revisión.,02_Analisis_Financiero,z;outlier;umbral;estadística
IQR (Interquartile Range),Términos de Análisis,Rango entre el percentil 75 y 25 de una variable.,Método robusto para detección de valores extremos.,Regla 1.5*IQR para detectar montos anómalos.,02_Analisis_Financiero,iqr;cuartiles;dispersión;outliers
Percentil,Términos de Análisis,Valor bajo el cual cae un porcentaje de observaciones.,Permite definir umbrales por segmentación de riesgo.,Monto en percentil 95 se considera alto.,02_Analisis_Financiero,cuantil;ranking;umbral;segmentación
Desviación típica,Términos de Análisis,"Sinónimo de desviación estándar, mide dispersión de datos.",Se usa para construir alertas y métricas de variabilidad.,Aumenta la desviación típica de montos nocturnos.,02_Analisis_Financiero,desviación;sigma;variabilidad;estadística
